spot_id,nearest_sdot_id,nearest_sdot_distance_m,coverage_class,sensor_recent_active,activity_reference_period,mapping_confidence,source_report
SPOT-EG6-001,3026,1471.9,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-002,3026,837.0,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-003,4002,120.5,DIRECT_COVERAGE,true,2026-07-06/2026-07-12,MEDIUM,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-004,4093,2278.1,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-005,4076,1033.5,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-006,4008,204.1,NEARBY_SUPPORT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-007,4010,892.1,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-008,4089,56.4,DIRECT_COVERAGE,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-009,4082,264.8,NEARBY_SUPPORT,true,2026-07-06/2026-07-12,MEDIUM,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-010,4087,173.2,NEARBY_SUPPORT,true,2026-07-06/2026-07-12,MEDIUM,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-011,4034,273.6,NEARBY_SUPPORT,true,2026-07-06/2026-07-12,LOW,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-012,4084,605.0,NO_NEARBY_SDOT,true,2026-07-06/2026-07-12,HIGH,EG6_AREA_SPOT_PANEL.md
SPOT-EG6-013,4024,122.3,DIRECT_COVERAGE,true,2026-07-06/2026-07-12,MEDIUM,EG6_AREA_SPOT_PANEL.md
