spot_id,service_area_name,spot_name,latitude,longitude,coordinate_source,representative_coordinate_type,connected_area_code,connected_area_name,spot_type,business_reason,selling_suitability_status,field_verified,active
SPOT-EG6-001,구로디지털단지역,구로디지털단지역 역 중심 대용점,37.4852660,126.9014010,서울시 역사마스터 정보; 2호선 역 좌표,STATION_CENTER_PROXY,POI019,구로디지털단지역,SUBWAY_STATION_CENTER_PROXY,오피스 통근권 대표 이동 후보를 후속 출구 조사로 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-002,가산디지털단지역,가산디지털단지역 역 중심 대용점,37.4809595,126.8826185,서울시 역사마스터 정보; 경부선·7호선 좌표 산술평균,STATION_CENTER_PROXY,POI013,가산디지털단지역,SUBWAY_STATION_CENTER_PROXY,오피스 통근권 대표 이동 후보를 후속 출구 조사로 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-003,강남역,강남역 역 중심 대용점,37.4974135,127.0280080,서울시 역사마스터 정보; 2호선·신분당선 좌표 산술평균,STATION_CENTER_PROXY,POI014,강남역,SUBWAY_STATION_CENTER_PROXY,대형 업무·상업 환승권의 출구별 후보를 비교하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-004,여의도역,여의도역 역 중심 대용점,37.5217535,126.9241935,서울시 역사마스터 정보; 5호선·9호선 좌표 산술평균,STATION_CENTER_PROXY,POI072,여의도,SUBWAY_STATION_CENTER_PROXY,공식 여의도 Area 안의 오피스 보행 동선 후보를 찾기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-005,삼성역,삼성역 강남 MICE·코엑스 방향 역 중심 대용점,37.5088570,127.0632000,서울시 역사마스터 정보; 2호선·광역급행철도 좌표 산술평균,STATION_CENTER_PROXY,POI001,강남 MICE 관광특구,SUBWAY_STATION_CENTER_PROXY,오피스·전시·상업 복합권인 강남 MICE 방향의 후속 현장 후보를 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-006,선릉역,선릉역 역 중심 대용점,37.5045710,127.0485050,서울시 역사마스터 정보; 2호선·분당선 좌표 산술평균,STATION_CENTER_PROXY,POI034,선릉역,SUBWAY_STATION_CENTER_PROXY,업무 통근권과 인근 S-DoT 지원을 함께 검토하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-007,역삼역,역삼역 역 중심 대용점,37.5006220,127.0364560,서울시 역사마스터 정보; 2호선 역 좌표,STATION_CENTER_PROXY,POI042,역삼역,SUBWAY_STATION_CENTER_PROXY,업무지구 보행 동선 후보를 후속 출구 조사로 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-008,뚝섬역,뚝섬역 역 중심 대용점,37.5471840,127.0473670,서울시 역사마스터 정보; 2호선 역 좌표,STATION_CENTER_PROXY,POI025,뚝섬역,SUBWAY_STATION_CENTER_PROXY,업무·창업·상업 혼합권과 직접 S-DoT 지원을 검토하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-009,광화문역,광화문역 광화문광장 방향 역 중심 대용점,37.5715250,126.9771700,서울시 역사마스터 정보; 5호선 역 좌표,STATION_CENTER_PROXY,POI088,광화문광장,SUBWAY_STATION_CENTER_PROXY,광화문광장 방향 보행 동선의 후속 현장 후보를 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-010,을지로입구역,을지로입구역 명동·다동 방향 역 중심 대용점,37.5660140,126.9826180,서울시 역사마스터 정보; 2호선 역 좌표,STATION_CENTER_PROXY,POI003,명동 관광특구,SUBWAY_STATION_CENTER_PROXY,명동·다동 업무·상업 보행권의 후속 현장 후보를 좁히기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-011,잠실역,잠실역 역 중심 대용점,37.5139770,127.1022485,서울시 역사마스터 정보; 2호선·8호선 좌표 산술평균,STATION_CENTER_PROXY,POI119,잠실역,SUBWAY_STATION_CENTER_PROXY,대형 환승·상업권의 출구별 후보와 센서 경계를 검토하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-012,서울역,서울역 역 중심 대용점,37.5547706,126.9713248,서울시 역사마스터 정보; 1호선·4호선·경부선·경의중앙선·공항철도 좌표 산술평균,STATION_CENTER_PROXY,POI033,서울역,SUBWAY_STATION_CENTER_PROXY,대형 환승 복합체의 출구별 후보를 비교하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
SPOT-EG6-013,마곡나루역,마곡나루역 역 중심 대용점,37.5661605,126.8273440,서울시 역사마스터 정보; 9호선·공항철도 좌표 산술평균,STATION_CENTER_PROXY,POI032,서울식물원·마곡나루역,SUBWAY_STATION_CENTER_PROXY,업무·공원 복합권과 직접 S-DoT 지원을 검토하기 위한 기준점,FIELD_VALIDATION_REQUIRED,false,true
