pilot_area_code,pilot_area_name,spot_option_id,spot_name,spot_type,address,latitude,longitude,coordinate_status,coordinate_source_type,pin_scope,location_source_name,location_source_url,location_source_checked_at,spot_role,spot_selection_mode,display_order,field_verification_status,operational_suitability_status,limitations
POI032,서울식물원·마곡나루역,POI032-OPT-01,서울식물원 열린숲,PARK_ZONE,대한민국 서울특별시 강서구 가양제1동 678 서울식물원 열린숲,37.5658219,126.831933,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,REPRESENTATIVE_POI_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,1,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI032,서울식물원·마곡나루역,POI032-OPT-02,서울식물원 식물문화센터,VENUE,서울 강서구 마곡동 812,37.5693507823043,126.835026023981,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,VENUE_ANCHOR,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,2,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI032,서울식물원·마곡나루역,POI032-OPT-03,서울식물원 호수원,PARK_ZONE,서울 강서구 마곡동 812,37.57195751126966,126.83194015080619,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,REPRESENTATIVE_POI_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,3,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI088,광화문광장,POI088-OPT-01,육조마당,PUBLIC_SPACE,서울 종로구 세종로 1-68,37.5741885600571,126.97665327859869,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,REPRESENTATIVE_POI_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,1,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI088,광화문광장,POI088-OPT-02,해치마당,PUBLIC_SPACE,서울 종로구 세종로 81-3,37.57188566701743,126.97690756151474,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,REPRESENTATIVE_POI_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,2,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI088,광화문광장,POI088-OPT-03,광장숲,PUBLIC_SPACE,서울 종로구 세종로 1-68,37.5708909077637,126.976599973568,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,REPRESENTATIVE_POI_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,3,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI014,강남역,POI014-OPT-01,강남스퀘어,PUBLIC_SPACE,서울 강남구 역삼동 804,37.49835486341528,127.02788728853392,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,PUBLIC_SPACE_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,1,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI014,강남역,POI014-OPT-02,CGV강남 앞,VENUE,대한민국 서울특별시 강남구 강남대로 438 스타플렉스,37.5015586,127.026319,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,VENUE_ANCHOR,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,2,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI014,강남역,POI014-OPT-03,점프밀라노 앞,VENUE,대한민국 서울특별시 강남구 역삼동 619-4,37.5012103,127.0266055,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,VENUE_ANCHOR,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,3,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI025,뚝섬역,POI025-OPT-01,뚝섬역 4번 출구,TRANSIT_EXIT,서울 성동구 성수동1가 14-17,37.54687689826925,127.04898713589128,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,TRANSIT_EXIT_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,1,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
POI025,뚝섬역,POI025-OPT-02,뚝섬역 6번 출구,TRANSIT_EXIT,서울 성동구 성수동1가 656-284,37.54683220890765,127.04811011414718,PM_CONFIRMED,PM_PROVIDED_PUBLIC_MAP_LOOKUP,TRANSIT_EXIT_PIN,PM_PROVIDED_PUBLIC_MAP_LOOKUP,https://github.com/shindonghyun0516-a11y/FreshManager/issues/132#issuecomment-5115241852,2026-07-29,USER_SELECTABLE_OPTION,USER_CHOICE,2,UNAVAILABLE,NOT_VERIFIED,지도상 대표 위치이며 사용자가 직접 선택하는 후보; 현장검증·운영 적합성 미확인; 자동추천·추천순위 아님
